country,iso2,iso3,iso_numeric,g_whoregion,year,e_pop_num,e_inc_100k,e_inc_num,e_inc_tbhiv_num,e_mort_exc_tbhiv_num,e_mort_num,e_mort_100k,cfr,c_newinc_100k,c_cdr
Afghanistan,AF,AFG,004,EMR,2015,33831765,200,68000,18,15000,15000,44,0.22,106,53
Afghanistan,AF,AFG,004,EMR,2018,36743039,212,78000,22,14000,14000,39,0.18,132,62
Afghanistan,AF,AFG,004,EMR,2020,39068984,205,80000,13,14000,14000,37,0.20,117,57
Afghanistan,AF,AFG,004,EMR,2021,40000415,206,82000,5,14000,14000,36,0.20,126,61
Afghanistan,AF,AFG,004,EMR,2022,40578848,206,84000,26,14000,14000,34,0.19,128,62
Afghanistan,AF,AFG,004,EMR,2023,41454760,204,84000,22,14000,14000,34,0.19,119,59
Afghanistan,AF,AFG,004,EMR,2024,42647488,203,87000,34,15000,15000,34,0.19,120,59
Algeria,DZ,DZA,012,AFR,2015,40019536,81,32000,240,4300,4400,11,0.14,59,74
Algeria,DZ,DZA,012,AFR,2018,42505030,74,32000,260,4200,4200,10,0.14,55,74
Algeria,DZ,DZA,012,AFR,2020,44042084,52,23000,190,3000,3100,7,0.13,39,74
Algeria,DZ,DZA,012,AFR,2022,45477388,55,25000,210,3300,3400,7.4,0.13,41,74
Algeria,DZ,DZA,012,AFR,2023,46164214,55,25000,210,3300,3400,7.3,0.13,41,74
Algeria,DZ,DZA,012,AFR,2024,46814312,54,25000,210,3300,3300,7.1,0.13,40,74
Angola,AO,AGO,024,AFR,2015,28157791,445,125000,27000,24000,36000,127,0.29,212,48
Angola,AO,AGO,024,AFR,2018,31297151,403,126000,12000,25000,30000,97,0.24,211,52
Angola,AO,AGO,024,AFR,2020,33451138,373,125000,15000,21000,27000,81,0.23,189,51
Angola,AO,AGO,024,AFR,2022,35635039,379,135000,10000,26000,30000,85,0.23,186,49
Angola,AO,AGO,024,AFR,2023,36749909,383,141000,11000,24000,29000,78,0.21,177,46
Angola,AO,AGO,024,AFR,2024,37885846,373,141000,9200,25000,29000,75,0.21,227,61
Argentina,AR,ARG,032,AMR,2015,43477004,28,12000,860,660,860,2,0.07,22,79
Argentina,AR,ARG,032,AMR,2018,44654884,30,13000,840,670,880,2,0.07,23,78
Argentina,AR,ARG,032,AMR,2020,45191968,27,12000,730,580,760,1.7,0.06,21,78
Argentina,AR,ARG,032,AMR,2022,45407904,35,16000,970,750,980,2.2,0.06,27,78
Argentina,AR,ARG,032,AMR,2023,45538407,39,18000,1100,530,790,1.7,0.04,31,78
Argentina,AR,ARG,032,AMR,2024,45696155,44,20000,1200,530,830,1.8,0.04,35,78
Armenia,AM,ARM,051,EUR,2015,2921181,63,1800,170,68,120,4.2,0.07,40,64
Armenia,AM,ARM,051,EUR,2018,2909962,37,1100,110,30,65,2.2,0.06,25,68
Armenia,AM,ARM,051,EUR,2020,2890893,29,830,88,47,87,3,0.11,14,47
Armenia,AM,ARM,051,EUR,2022,2880868,24,680,65,24,45,1.6,0.07,15,65
Armenia,AM,ARM,051,EUR,2023,2943390,21,620,71,27,51,1.7,0.08,14,65
Armenia,AM,ARM,051,EUR,2024,2973835,19,550,42,28,40,1.4,0.07,13,69
